notice,name,inst_type,entity,permco,dt_start,dt_end,PERMNO,date,TICKER,COMNAM
,AMERICAN EXPRESS COMPANY,Bank Holding Company,1275216,90,19860630,20210930,59176,2022-12-30,AXP,AMERICAN EXPRESS CO
,AMERICAN INTERNATIONAL GROUP,Thrift holding company,1562176,137,19860630,20210930,66800,2022-12-30,AIG,AMERICAN INTERNATIONAL GROUP INC
,ASSOCIATED BANC-CORP,Bank Holding Company,1199563,362,19860630,20210930,15318,2022-12-30,ASB,ASSOCIATED BANC CORP
,"POPULAR, INC.",Bank Holding Company,1129382,475,19860630,20210930,16505,2022-12-30,BPOP,POPULAR INC
,BANK OF HAWAII CORPORATION,Bank Holding Company,1025309,589,19860630,20210930,16548,2022-12-30,BOH,BANK OF HAWAII CORP
,"COMMERCE BANCSHARES, INC.",Bank Holding Company,1049341,779,19860630,20210930,25129,2022-12-30,CBSH,COMMERCE BANCSHARES INC
,SYNOVUS FINANCIAL CORP.,Bank Holding Company,1078846,781,19860630,20210930,20053,2022-12-30,SNV,SYNOVUS FINANCIAL CORP
,"CULLEN/FROST BANKERS, INC.",Bank Holding Company,1102367,840,19860630,20210930,27888,2022-12-30,CFR,CULLEN FROST BANKERS INC
,COMERICA INCORPORATED,Bank Holding Company,1199844,1261,19860630,20210930,25081,2022-12-30,CMA,COMERICA INC
,REGIONS FINANCIAL CORPORATION,Bank Holding Company,3242838,1620,20040701,20210930,35044,2022-12-30,RF,REGIONS FINANCIAL CORP NEW
,U.S. BANCORP,Bank Holding Company,1119794,1645,19860630,20210930,66157,2022-12-30,USB,U S BANCORP DEL
,TRUSTMARK CORPORATION,Bank Holding Company,1079562,1658,19860630,20210930,35263,2022-12-30,TRMK,TRUSTMARK CORP
,M&T BANK CORPORATION,Bank Holding Company,1037003,1689,19860630,20210930,35554,2022-12-30,MTB,M & T BANK CORP
,FIFTH THIRD BANCORP,Bank Holding Company,1070345,1741,19860630,20210930,34746,2022-12-30,FITB,FIFTH THIRD BANCORP
,FIRST HORIZON NATIONAL CORPORATION,Bank Holding Company,1094640,1856,19860630,20210930,36397,2022-12-30,FHN,FIRST HORIZON CORP
,ARROW FINANCIAL CORPORATION,Bank Holding Company,1048812,1940,19860630,20210930,15070,2022-12-30,AROW,ARROW FINANCIAL CORP
,HUNTINGTON BANCSHARES INCORPORATED,Bank Holding Company,1068191,2093,19860630,20210930,42906,2022-12-30,HBAN,HUNTINGTON BANCSHARES INC
,WESTAMERICA BANCORPORATION,Bank Holding Company,1025541,2253,19860630,20210930,82107,2022-12-30,WABC,WESTAMERICA BANCORPORATION
,KEYCORP,Bank Holding Company,1068025,2535,19940302,20210930,64995,2022-12-30,KEY,KEYCORP NEW
,BANK OF AMERICA CORPORATION,Bank Holding Company,1073757,3151,19860630,20210930,59408,2022-12-30,BAC,BANK OF AMERICA CORP
,NORTHERN TRUST CORPORATION,Bank Holding Company,1199611,3275,19860630,20210930,58246,2022-12-30,NTRS,NORTHERN TRUST CORP
,"PNC FINANCIAL SERVICES GROUP, INC., THE",Bank Holding Company,1069778,3685,19860630,20210930,60442,2022-12-30,PNC,P N C FINANCIAL SERVICES GRP INC
,SEI INVESTMENTS COMPANY,Thrift holding company,1274974,4040,19860630,20210930,68196,2022-12-30,SEIC,S E I INVESTMENTS CO
,BB&T CORPORATION,Bank Holding Company,1074156,4163,19860630,20210930,71563,2022-12-30,TFC,TRUIST FINANCIAL CORP
,STATE STREET CORPORATION,Bank Holding Company,1111435,4260,19860630,20210930,72726,2022-12-30,STT,STATE STREET CORP
,UMB FINANCIAL CORPORATION,Bank Holding Company,1049828,4673,19860630,20210930,78829,2022-12-30,UMBF,U M B FINANCIAL CORP
,VALLEY NATIONAL BANCORP,Bank Holding Company,1048773,4818,19860630,20210930,80072,2022-12-30,VLY,VALLEY NATIONAL BANCORP
,FULTON FINANCIAL CORPORATION,Bank Holding Company,1117129,5440,19860630,20210930,88197,2022-12-30,FULT,FULTON FINANCIAL CORP PA
,"WASHINGTON FEDERAL, INC.",Thrift holding company,3065617,5679,19950203,20210930,81577,2022-12-30,WAFD,WASHINGTON FEDERAL INC
,CVB FINANCIAL CORP.,Bank Holding Company,1029222,5856,19860630,20210930,20395,2022-12-30,CVBF,C V B FINANCIAL CORP
,TRUSTCO BANK CORP NY,Bank Holding Company,1048513,5926,19860630,20210930,77519,2022-12-30,TRST,TRUSTCO BANK CORP NY
